[ToFile][RES]           = D:/4 WORKSPACE/24-OBC/OBC/0101 Modeling and Simulation/0000 PLECS SIMULATION/Python Lib/RES/Traces
[ToFile][ToFile_path]           = D:/4 WORKSPACE/24-OBC/OBC/0101 Modeling and Simulation/0000 PLECS SIMULATION/Python Lib/RES/CSV/Results_0.csv
[ToFile][logfile]           = D:/4 WORKSPACE/24-OBC/OBC/0101 Modeling and Simulation/0000 PLECS SIMULATION/Python Lib/RES/Log/log_0.log
[ToFile][Ts]           = 0
[ToFile][output_html]           = D:/4 WORKSPACE/24-OBC/OBC/0101 Modeling and Simulation/0000 PLECS SIMULATION/Python Lib/RES/html/output_html0.html
[None][scopes]         = ['OBC/Scopes/grid_scope', 'OBC/Scopes/EMI_scope', 'OBC/Scopes/DCLink_scope', 'OBC/Scopes/load_scope', 'OBC/Scopes/PFC Input Voltage', 'OBC/Scopes/PFC Input Current', 'OBC/Scopes/PFC output voltage', 'OBC/Scopes/PFC gates signal', 'OBC/Scopes/PFC Input choke', 'OBC/Scopes/PFC sw voltage', 'OBC/Scopes/PFC sw current', 'OBC/Scopes/PFC sw junction Temp', "OBC/Scopes/'PFC case Temp", 'OBC/Scopes/PFC switching losses', 'OBC/Scopes/PFC conduction losses', 'OBC/Scopes/PFC output capacitor', 'OBC/Scopes/PFC input busbar', 'OBC/Scopes/PFC output busbar']
[Sim_param][tSim]         = 1.5
[Sim_param][maxStep]         = 0.001
[Sim_param][ZeroCross]         = 1000
[Sim_param][idx]         = 0
[Sim_param][rel_tol]         = 0.001
[Grid][Config]      = 2
[Grid][Vin]      = 230
[Grid][Ts]      = 0
[Grid][Fgrid]      = 50
[Grid][Rg]      = 0.001
[AC_Filter][Config]      = 4
[AC_Filter][Cin]      = 1e-09
[AC_Filter][Lin]      = 1e-09
[AC_Filter][Ro]      = 1e-09
[AC_Filter][L_CMC]      = 0.0015
[AC_Filter][L_DMC]      = 0.0009
[AC_Filter][Cx]      = 1e-07
[AC_Filter][Cy1]      = 4.7e-12
[AC_Filter][Cy2]      = 4.7e-12
[AC_Filter][Cd]      = 0
[AC_Filter][Rd]      = 470000.0
[PFC_glb][L]       = 0.0003
[PFC_glb][Rbusin]       = 0.01
[PFC_glb][Rbusout]       = 0.01
[Cout][Config]      = 4
[Cout][Cap_s]      = 0.0001
[Cout][Resr_s]      = 1.9e-08
[Cout][Lesl_s]      = 1e-12
[Cout][Npara]      = 1
[Cout][Nseri]      = 1
[Cout][Vinit]      = 0
[Cout][Iinit]      = 0
[PFC_glb][VF]       = 500
[PFC][Config]      = 1
[HS1][Config]                = 1
[HS1][therm_mosfet]                = file:C3M0021120K
[HS1][Rgon]                = 2.5
[HS1][Rgoff]                = 2.5
[HS1][Vdsmax]                = 1200
[HS1][Idsmax]                = 100
[HS1][Tjmax]                = 175
[HS1][Tjmin]                = -40
[HS1][TcDerating]                = [-55, 27, 45, 70, 95, 108, 120, 132, 145, 158, 170, 175]
[HS1][IdsMaxDerated]                = [100, 100, 95, 86, 77, 71, 65, 58, 49, 37, 20, 0]
[HS1][ron_mosfet]                = 0.021
[HS1][Rds_off]                = 0
[HS1][Iinit]                = 0
[Coss][Config]      = 6
[Coss][Cap_s]      = 1e-12
[Coss][Resr_s]      = 0
[Coss][Lesl_s]      = 0
[Coss][Npara]      = 1
[Coss][Nseri]      = 1
[Coss][Vinit]      = 0
[Coss][Iinit]      = 0
[HS1][vblock]                = 0
[HS1][Idrain]                = 0
[HS1][Trise]                = 0
[HS1][Tfall]                = 0
[HS1][therm_body_diode]                = file:C3M0021120K_bodydiode
[HS1][ron_body_diode]                = 0.033
[HS1][Rdb_off]                = 0
[HS1][vf_body_diode]                = 2.3
[HS1][BD_If]                = 0
[HS1][T_reverse]                = 0
[HS1][Q_reverse]                = 0
[HS1][Ldr]                = 1e-12
[HS1][Ldr_Iinit]                = 0
[HS1][Lso]                = 0
[HS1][Lso_Iinit]                = 0
[HS1][nPara]                = 0
[HS1][T_init]                = 25
[HS1][Tamb]                = 25
[HS1][t_init]                = 25
[HS1][rth_sw]                = 0.09
[HS1][rth_ch]                = 0.5
[HS1][Rth]                = 0.34
[HS2][Config]                = 1
[HS2][therm_mosfet]                = file:C3M0021120K
[HS2][Rgon]                = 2.5
[HS2][Rgoff]                = 2.5
[HS2][Vdsmax]                = 1200
[HS2][Idsmax]                = 100
[HS2][Tjmax]                = 175
[HS2][Tjmin]                = -40
[HS2][TcDerating]                = [-55, 27, 45, 70, 95, 108, 120, 132, 145, 158, 170, 175]
[HS2][IdsMaxDerated]                = [100, 100, 95, 86, 77, 71, 65, 58, 49, 37, 20, 0]
[HS2][ron_mosfet]                = 0.021
[HS2][Rds_off]                = 0
[HS2][Iinit]                = 0
[Coss][Config]      = 6
[Coss][Cap_s]      = 1e-12
[Coss][Resr_s]      = 0
[Coss][Lesl_s]      = 0
[Coss][Npara]      = 1
[Coss][Nseri]      = 1
[Coss][Vinit]      = 0
[Coss][Iinit]      = 0
[HS2][vblock]                = 0
[HS2][Idrain]                = 0
[HS2][Trise]                = 0
[HS2][Tfall]                = 0
[HS2][therm_body_diode]                = file:C3M0021120K_bodydiode
[HS2][ron_body_diode]                = 0.033
[HS2][Rdb_off]                = 0
[HS2][vf_body_diode]                = 2.3
[HS2][BD_If]                = 0
[HS2][T_reverse]                = 0
[HS2][Q_reverse]                = 0
[HS2][Ldr]                = 1e-12
[HS2][Ldr_Iinit]                = 0
[HS2][Lso]                = 0
[HS2][Lso_Iinit]                = 0
[HS2][nPara]                = 0
[HS2][T_init]                = 25
[HS2][Tamb]                = 25
[HS2][t_init]                = 25
[HS2][rth_sw]                = 0.09
[HS2][rth_ch]                = 0.5
[HS2][Rth]                = 0.34
[LS1][Config]                = 1
[LS1][therm_mosfet]                = file:C3M0021120K
[LS1][Rgon]                = 2.5
[LS1][Rgoff]                = 2.5
[LS1][Vdsmax]                = 1200
[LS1][Idsmax]                = 100
[LS1][Tjmax]                = 175
[LS1][Tjmin]                = -40
[LS1][TcDerating]                = [-55, 27, 45, 70, 95, 108, 120, 132, 145, 158, 170, 175]
[LS1][IdsMaxDerated]                = [100, 100, 95, 86, 77, 71, 65, 58, 49, 37, 20, 0]
[LS1][ron_mosfet]                = 0.021
[LS1][Rds_off]                = 0
[LS1][Iinit]                = 0
[Coss][Config]      = 6
[Coss][Cap_s]      = 1e-12
[Coss][Resr_s]      = 0
[Coss][Lesl_s]      = 0
[Coss][Npara]      = 1
[Coss][Nseri]      = 1
[Coss][Vinit]      = 0
[Coss][Iinit]      = 0
[LS1][vblock]                = 0
[LS1][Idrain]                = 0
[LS1][Trise]                = 0
[LS1][Tfall]                = 0
[LS1][therm_body_diode]                = file:C3M0021120K_bodydiode
[LS1][ron_body_diode]                = 0.033
[LS1][Rdb_off]                = 0
[LS1][vf_body_diode]                = 2.3
[LS1][BD_If]                = 0
[LS1][T_reverse]                = 0
[LS1][Q_reverse]                = 0
[LS1][Ldr]                = 1e-12
[LS1][Ldr_Iinit]                = 0
[LS1][Lso]                = 0
[LS1][Lso_Iinit]                = 0
[LS1][nPara]                = 0
[LS1][T_init]                = 25
[LS1][Tamb]                = 25
[LS1][t_init]                = 25
[LS1][rth_sw]                = 0.09
[LS1][rth_ch]                = 0.5
[LS1][Rth]                = 0.34
[LS2][Config]                = 1
[LS2][therm_mosfet]                = file:C3M0021120K
[LS2][Rgon]                = 2.5
[LS2][Rgoff]                = 2.5
[LS2][Vdsmax]                = 1200
[LS2][Idsmax]                = 100
[LS2][Tjmax]                = 175
[LS2][Tjmin]                = -40
[LS2][TcDerating]                = [-55, 27, 45, 70, 95, 108, 120, 132, 145, 158, 170, 175]
[LS2][IdsMaxDerated]                = [100, 100, 95, 86, 77, 71, 65, 58, 49, 37, 20, 0]
[LS2][ron_mosfet]                = 0.021
[LS2][Rds_off]                = 0
[LS2][Iinit]                = 0
[Coss][Config]      = 6
[Coss][Cap_s]      = 1e-12
[Coss][Resr_s]      = 0
[Coss][Lesl_s]      = 0
[Coss][Npara]      = 1
[Coss][Nseri]      = 1
[Coss][Vinit]      = 0
[Coss][Iinit]      = 0
[LS2][vblock]                = 0
[LS2][Idrain]                = 0
[LS2][Trise]                = 0
[LS2][Tfall]                = 0
[LS2][therm_body_diode]                = file:C3M0021120K_bodydiode
[LS2][ron_body_diode]                = 0.033
[LS2][Rdb_off]                = 0
[LS2][vf_body_diode]                = 2.3
[LS2][BD_If]                = 0
[LS2][T_reverse]                = 0
[LS2][Q_reverse]                = 0
[LS2][Ldr]                = 1e-12
[LS2][Ldr_Iinit]                = 0
[LS2][Lso]                = 0
[LS2][Lso_Iinit]                = 0
[LS2][nPara]                = 0
[LS2][T_init]                = 25
[LS2][Tamb]                = 25
[LS2][t_init]                = 25
[LS2][rth_sw]                = 0.09
[LS2][rth_ch]                = 0.5
[LS2][Rth]                = 0.34
[CTRL_PFC][Vref]     = 400
[CTRL_PFC][fs]     = 0.07
[CTRL_PFC][Ri_Kp]     = 0.1
[CTRL_PFC][Ri_Ki]     = 600
[CTRL_PFC][Rv_Kp]     = 5
[CTRL_PFC][Rv_Ki]     = 800
[DCLink][Config]      = 4
[DCLink][Cdc]      = 0.0005
[DCLink][ESR]      = 1.9e-08
[DCLink][ESL]      = 1e-12
[DCLink][nPara]      = 6
[DCLink][nSeri]      = 1
[DCLink][Vinit]      = 0
[DCLink][Iinit]      = 0
[LLC][R1]    = 1175.0
[LLC][R2]    = 6.666666666666667
[LLC][T_dt]    = 3e-07
[HV_Filter][Config]      = 2
[C_o][Config]      = 6
[C_o][Cap_s]      = 0.001
[C_o][Resr_s]      = 0
[C_o][Lesl_s]      = 0
[C_o][Npara]      = 1
[C_o][Nseri]      = 1
[C_o][Vinit]      = 0
[C_o][Iinit]      = 0
[HV_Filter][L]      = 4e-05
[Load][Config]      = 2
[Load][CL]      = 1e-06
[Load][RL]      = 40
[Load][LL]      = 0
[Load][Vinit]      = 0
[Load][Iinit]      = 0
[Thermals][T_amb]       = 25.0
[Thermals][rth_Amb]       = 0.09
